Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Age,Gender,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Cost,Price,Profit,Quantity,Sales,Total Profit,Month,Year,Quarter,AgeGroup
1,CA-2017-152156,08-Nov-17,11-Nov-17,Second Class,CG-12520,Claire Gute,22,Female,Consumer,United States,Henderson,Kentucky,42420,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,464.48,901.06,436.58,4,3604.243977,1746.32,November,2017,Q4,18-25
2,CA-2017-152156,08-Nov-17,11-Nov-17,Second Class,CG-12520,Claire Gute,53,Female,Consumer,United States,Henderson,Kentucky,42420,South,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",756.1,138.7,-617.4,12,1664.369269,-7408.8,November,2017,Q4,46-55
4,US-2016-108966,11-Oct-16,18-Oct-16,Standard Class,SO-20335,Sean O'Donnell,46,Male,Consumer,United States,Fort Lauderdale,Florida,33311,South,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,875.91,445.88,-430.03,13,5796.463018,-5590.39,October,2016,Q4,46-55
5,US-2016-108966,11-Oct-16,18-Oct-16,Standard Class,SO-20335,Sean O'Donnell,59,Male,Consumer,United States,Fort Lauderdale,Florida,33311,South,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,187.17,137.59,-49.58,19,2614.284944,-942.02,October,2016,Q4,55+
6,CA-2015-115812,09-Jun-15,14-Jun-15,Standard Class,BH-11710,Brosina Hoffman,47,Female,Consumer,United States,Los Angeles,California,90032,West,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",795.6,162.16,-633.44,19,3081.066152,-12035.36,June,2015,Q2,46-55
7,CA-2015-115812,09-Jun-15,14-Jun-15,Standard Class,BH-11710,Brosina Hoffman,32,Female,Consumer,United States,Los Angeles,California,90032,West,OFF-AR-10002833,Office Supplies,Art,Newell 322,711.32,172.24,-539.08,24,4133.747724,-12937.92,June,2015,Q2,26-35
8,CA-2015-115812,09-Jun-15,14-Jun-15,Standard Class,BH-11710,Brosina Hoffman,28,Female,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,378.18,939.85,561.67,7,6578.957164,3931.69,June,2015,Q2,26-35
9,CA-2015-115812,09-Jun-15,14-Jun-15,Standard Class,BH-11710,Brosina Hoffman,50,Female,Consumer,United States,Los Angeles,California,90032,West,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,685.93,783.4,97.47,25,19584.93743,2436.75,June,2015,Q2,46-55
10,CA-2015-115812,09-Jun-15,14-Jun-15,Standard Class,BH-11710,Brosina Hoffman,51,Female,Consumer,United States,Los Angeles,California,90032,West,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,124.23,824.27,700.04,9,7418.467726,6300.36,June,2015,Q2,46-55
11,CA-2015-115812,09-Jun-15,14-Jun-15,Standard Class,BH-11710,Brosina Hoffman,38,Female,Consumer,United States,Los Angeles,California,90032,West,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,742.2,747.27,5.07,15,11209.08286,76.05,June,2015,Q2,36-45
12,CA-2015-115812,09-Jun-15,14-Jun-15,Standard Class,BH-11710,Brosina Hoffman,54,Female,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002033,Technology,Phones,Konftel 250 Conferenceÿphoneÿ- Charcoal black,212.91,908.39,695.48,16,14534.26161,11127.68,June,2015,Q2,46-55
13,CA-2018-114412,15-Apr-18,20-Apr-18,Standard Class,AA-10480,Andrew Allen,31,Male,Consumer,United States,Concord,North Carolina,28027,South,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,60.15,763.94,703.8,15,11459.14745,10557,April,2018,Q2,26-35
14,CA-2017-161389,05-Dec-17,10-Dec-17,Standard Class,IM-15070,Irene Maddox,52,Female,Consumer,United States,Seattle,Washington,98103,West,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,675.25,852.84,177.59,25,21321.118,4439.75,December,2017,Q4,46-55
17,CA-2015-105893,11-Nov-15,18-Nov-15,Standard Class,PK-19075,Pete Kriz,38,Male,Consumer,United States,Madison,Wisconsin,53711,Central,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",143.05,170.27,27.22,12,2043.216336,326.64,November,2015,Q4,36-45
18,CA-2015-167164,13-May-15,15-May-15,Second Class,AG-10270,Alejandro Grove,56,Male,Consumer,United States,West Jordan,Utah,84084,West,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,826.87,819.44,-7.42,12,9833.289446,-89.04,May,2015,Q2,55+
19,CA-2015-143336,27-Aug-15,01-Sep-15,Second Class,ZD-21925,Zuschuss Donatelli,45,Male,Consumer,United States,San Francisco,California,94109,West,OFF-AR-10003056,Office Supplies,Art,Newell 341,354.24,193.42,-160.82,17,3288.058439,-2733.94,August,2015,Q3,36-45
20,CA-2015-143336,27-Aug-15,01-Sep-15,Second Class,ZD-21925,Zuschuss Donatelli,20,Male,Consumer,United States,San Francisco,California,94109,West,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,602.46,385.89,-216.57,9,3473.031415,-1949.13,August,2015,Q3,18-25
21,CA-2015-143336,27-Aug-15,01-Sep-15,Second Class,ZD-21925,Zuschuss Donatelli,31,Male,Consumer,United States,San Francisco,California,94109,West,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",527.78,835.49,307.71,6,5012.920677,1846.26,August,2015,Q3,26-35
24,US-2018-156909,16-Jul-18,18-Jul-18,Second Class,SF-20065,Sandra Flanagan,29,Female,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",541.44,458.43,-83.01,17,7793.331876,-1411.17,July,2018,Q3,26-35
25,CA-2016-106320,25-Sep-16,30-Sep-16,Standard Class,EB-13870,Emily Burns,43,Female,Consumer,United States,Orem,Utah,84057,West,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,202.83,797.24,594.41,22,17539.29487,13077.02,September,2016,Q3,36-45
26,CA-2017-121755,16-Jan-17,20-Jan-17,Second Class,EH-13945,Eric Hoffmann,31,Male,Consumer,United States,Los Angeles,California,90049,West,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,586.08,773.06,186.98,6,4638.355416,1121.88,January,2017,Q1,26-35
27,CA-2017-121755,16-Jan-17,20-Jan-17,Second Class,EH-13945,Eric Hoffmann,43,Male,Consumer,United States,Los Angeles,California,90049,West,TEC-AC-10003027,Technology,Accessories,Imationÿ8GB Mini TravelDrive USB 2.0ÿFlash Drive,183.92,369.63,185.71,22,8131.913529,4085.62,January,2017,Q1,36-45
28,US-2016-150630,17-Sep-16,21-Sep-16,Standard Class,TB-21520,Tracy Blumstein,54,Female,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",188.52,742.99,554.47,15,11144.84174,8317.05,September,2016,Q3,46-55
29,US-2016-150630,17-Sep-16,21-Sep-16,Standard Class,TB-21520,Tracy Blumstein,30,Female,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,728.56,670.87,-57.68,5,3354.36886,-288.4,September,2016,Q3,26-35
30,US-2016-150630,17-Sep-16,21-Sep-16,Standard Class,TB-21520,Tracy Blumstein,50,Female,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",368.86,957.31,588.45,18,17231.61635,10592.1,September,2016,Q3,46-55
31,US-2016-150630,17-Sep-16,21-Sep-16,Standard Class,TB-21520,Tracy Blumstein,46,Female,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,943.14,968.45,25.32,21,20337.54573,531.72,September,2016,Q3,46-55
32,US-2016-150630,17-Sep-16,21-Sep-16,Standard Class,TB-21520,Tracy Blumstein,36,Female,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",516.86,762.18,245.31,15,11432.63183,3679.65,September,2016,Q3,36-45
33,US-2016-150630,17-Sep-16,21-Sep-16,Standard Class,TB-21520,Tracy Blumstein,24,Female,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",297.18,763.19,466.01,7,5342.33281,3262.07,September,2016,Q3,18-25
34,US-2016-150630,17-Sep-16,21-Sep-16,Standard Class,TB-21520,Tracy Blumstein,56,Female,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,281.17,600.8,319.63,14,8411.196939,4474.82,September,2016,Q3,55+
47,CA-2015-146703,20-Oct-15,25-Oct-15,Second Class,PO-18865,Patrick O'Donnell,57,Male,Consumer,United States,Westland,Michigan,48185,Central,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",23.82,802.03,778.22,7,5614.221833,5447.54,October,2015,Q4,55+
